,people,product_page_number,aw,buy,val12,val15,effort
4,15,Page1 4,0.28467,0,2.49126,-0.21318,0.31803
5,15,Page1 5,0.48619,0,0.44612,1.23351,0.19595
6,15,Page1 6,0.63944,0,0.30145,0.26594,0.71996
7,15,Page1 7,0.41591,0,1.42635,1.60849,0.70534
8,15,Page1 8,0.30611,0,1.63416,-0.52015,0.08824
9,15,Page1 9,0.20009,0,1.89297,-0.95034,0.67866
10,15,Page1 10,-0.29281,0,0.36216,-1.84117,0.39377
11,15,Page1 11,0.04461,0,0.19226,-0.79278,0.08347
12,15,Page1 12,0.30404,1,0.20001,0.09223,-0.089
13,15,Page1 13,0.031,0,0.59637,0.44423,-0.06398
14,15,Page1 14,0.58261,0,1.10966,0.67104,0.08482
15,15,Page1 15,0.49757,0,2.05873,0.85992,0.89147
16,15,Page1 16,0.0519,0,1.28218,1.66078,-0.08061
17,15,Page1 17,0.41562,0,1.88359,0.57855,0.17394
18,15,Page1 18,0.4351,1,0.78153,0.5939,0.57908
19,15,Page1 19,0.20316,0,0.7333,-0.18202,0.24872
20,15,Page1 20,-0.21355,0,-0.17343,-0.44164,0.40123
21,15,Page1 21,0.3392,0,0.70765,0.27641,0.49873
22,15,Page1 22,0.05166,0,0.43404,1.37587,-0.28343
23,15,Page1 23,0.27342,0,0.56961,2.73542,0.09062
24,15,Page2 0,0.1772,0,0.63612,0.08639,-0.08175
25,15,Page2 1,0.47981,0,0.53184,0.96031,-0.26238
26,15,Page2 2,0.01653,1,0.38772,0.16802,0.40049
27,15,Page2 3,-0.01153,1,0.38774,-0.97172,0.31796
28,15,Page2 4,-0.04347,0,0.43499,-1.4566,-0.17217
29,15,Page2 5,0.21066,1,0.8771,0.52722,0.03859
30,15,Page2 6,0.048,0,0.42696,-0.56811,0.41183
31,15,Page2 7,-0.05061,0,0.72347,-2.55937,0.01954
32,15,Page2 8,0.3172,0,0.47283,-0.21601,0.34952
33,15,Page2 9,0.41399,0,1.84987,0.08451,-0.09999
34,15,Page2 10,0.85383,0,1.3581,15.87556,0.9898
35,15,Page2 11,-0.13317,0,-0.2867,-0.3914,0.25804
36,15,Page2 12,0.34326,0,0.58361,1.93303,0.2632
37,15,Page2 13,-0.06161,0,0.6516,-1.82807,0.34231
38,15,Page2 14,-0.10754,0,0.3986,-2.19377,-0.34482
39,15,Page2 15,-0.27235,0,-0.15117,-1.1116,-0.08321
40,15,Page2 16,0.28968,0,1.0353,0.3235,0.50268
41,15,Page2 17,0.29789,0,2.33589,-2.65176,0.39829
42,15,Page2 18,0.45088,0,0.20526,2.26535,0.44917
43,15,Page2 19,0.47598,0,1.23213,1.12173,0.51688
44,15,Page2 20,0.06679,0,0.60502,-0.92803,0.65726
45,15,Page2 21,0.2679,0,0.4539,-1.01806,-0.09782
46,15,Page2 22,0.78142,0,1.17013,1.55673,0.96973
47,15,Page2 23,-0.58402,0,-0.23571,-0.82826,0.53285
48,15,Page3 0,-0.08053,0,0.42514,-0.54482,0.05733
49,15,Page3 1,0.38959,0,0.6526,1.43943,-0.02099
50,15,Page3 2,-0.27593,0,-0.01893,-0.8871,0.16712
51,15,Page3 3,0.01816,1,0.19597,-0.64289,0.21791
52,15,Page3 4,0.11042,0,0.56994,1.76202,0.00493
53,15,Page3 5,-0.44467,0,-0.20264,-0.74885,0.45795
54,15,Page3 6,0.37497,0,1.9316,2.90006,0.08513
55,15,Page3 7,0.61894,0,0.93384,1.95938,0.28587
56,15,Page3 8,0.26842,1,1.50308,-0.94676,0.06098
57,15,Page3 9,-0.3025,0,-0.19516,-0.36957,0.30219
58,15,Page3 10,0.3743,0,2.21959,-0.51136,0.61457
59,15,Page3 11,0.40583,1,0.92874,0.41919,0.19573
60,15,Page3 12,0.88006,0,1.14168,2.56539,0.85609
61,15,Page3 13,0.02042,0,0.80012,-0.26291,0.08428
62,15,Page3 14,-0.15455,0,-0.21619,-0.57042,-0.19872
63,15,Page3 15,0.47606,0,0.50876,8.70813,0.86107
64,15,Page3 16,-0.11758,0,-0.03788,-0.58424,0.34642
65,15,Page3 17,0.04086,0,-0.07046,-0.32206,-0.02397
66,15,Page3 18,-0.05742,0,0.3507,-0.44662,0.2365
67,15,Page3 19,-0.07359,1,0.41406,-0.83515,-0.07615
68,15,Page3 20,0.12345,0,0.07063,-0.25053,-0.37488
69,15,Page3 21,-0.43819,0,0.07527,-2.02136,0.01361
70,15,Page3 22,-0.41742,0,0.13317,-2.17434,-0.03187
71,15,Page3 23,0.05964,1,0.50281,-0.54363,-0.02653
72,15,Page4 0,0.18658,1,0.56809,0.78047,0.31728
73,15,Page4 1,0.26212,0,0.68989,0.99572,0.05423
74,15,Page4 2,0.51158,0,0.87794,-2.67832,-0.00357
75,15,Page4 3,-0.14259,0,0.00534,-0.39525,0.17797
76,15,Page4 4,-0.02172,0,0.20591,0.52086,0.30207
77,15,Page4 5,-0.04018,0,1.20734,-5.79433,-0.42779
